front_col,left_col,right_col,rear_col,num_cols,avg_speed,avg_time_taken,time_limit_reached,goal_reached
89,58,32,6,1,0.6761476061801781,76.512,0,0
89,58,32,6,1,0.5833351846257433,150.016,1,0
90,58,32,6,2,0.6334923368352272,66.784,1,0
91,58,32,6,3,0.6167422294602404,15.36,1,0
91,58,32,6,3,0.6216647994208433,150.016,2,0
91,58,32,7,4,0.5679836179950839,65.85600000000001,2,0
91,58,32,8,5,0.5186649769759947,41.984,2,0
92,58,32,8,6,0.5280925652319204,9.824,2,0
92,58,32,8,6,0.6098296777103482,150.016,3,0
92,58,33,8,7,0.5924371542364947,34.624,3,0
93,58,33,8,8,0.5845186276771439,52.416000000000004,3,0
94,58,33,8,9,0.5802179767868114,58.976000000000006,3,0
94,58,33,8,9,0.6456871631703661,150.016,4,0
94,58,33,8,9,0.6583234178722284,150.016,5,0
94,58,33,8,9,0.6136212747145289,150.016,6,0
94,58,33,8,9,0.6434128926237604,150.016,7,0
94,58,33,9,10,0.6398496319644623,23.36,7,0
95,58,33,9,11,0.6361248797184698,36.416000000000004,7,0
95,58,33,9,11,0.6530010283150478,150.016,8,0
96,58,33,9,12,0.6428584417955555,59.74400000000001,8,0
97,58,33,9,13,0.6340862164086927,47.48800000000001,8,0
98,58,33,9,14,0.6241114543431954,52.288000000000004,8,0
98,58,33,9,14,0.6211117019510236,65.632,8,1
98,58,33,9,14,0.6374179458265922,150.016,9,1
99,58,33,9,15,0.6291167641355108,73.56800000000001,9,1
99,58,33,9,15,0.6415442116372693,150.016,10,1
99,58,33,10,16,0.6273507866365973,67.04,10,1
100,58,33,10,17,0.6310644248661853,71.232,10,1
100,58,33,11,18,0.6273370100118507,62.528000000000006,10,1
100,58,33,12,19,0.6254496236053966,75.26400000000001,10,1
101,58,33,12,20,0.6196937200308121,85.44000000000001,10,1
101,58,33,13,21,0.6101230966068897,63.712,10,1
101,58,33,13,21,0.5970789245384812,57.6,10,2
101,58,33,14,22,0.5930324328373796,25.6,10,2
101,59,33,14,23,0.5926642316155343,64.19200000000001,10,2
101,59,33,14,23,0.6009316982387105,150.016,11,2
102,59,33,14,24,0.6045809635205648,57.536,11,2
103,59,33,14,25,0.5948067761457562,87.13600000000001,11,2
103,60,33,14,26,0.594407331267306,64.67200000000001,11,2
103,60,33,15,27,0.5773872153720312,65.632,11,2
103,60,33,15,27,0.5752533991618506,64.0,11,3
104,60,33,15,28,0.5769067106941023,9.088000000000001,11,3
105,60,33,15,29,0.5770253173614083,9.408,11,3
105,60,33,16,30,0.5698111987199976,52.928000000000004,11,3
106,60,33,16,31,0.5661300975625264,52.160000000000004,11,3
107,60,33,16,32,0.5694123393097521,10.784,11,3
108,60,33,16,33,0.5648818633731759,54.496,11,3
109,60,33,16,34,0.5649706710330101,9.568,11,3
109,61,33,16,35,0.5663916658620115,9.568,11,3
110,61,33,16,36,0.5701398954116541,52.25600000000001,11,3
110,61,33,17,37,0.5685337000317143,25.12,11,3
